station_name,,lines,historical,borough,county,latitude,longitude,wifi_available,at_t,sprint,t_mobile,verizon
77th St,,,FALSE,Brooklyn,Kings County,40.629742,-74.02551,No,No,No,No,No
149th St-3rd Ave,,25,FALSE,Bronx,Bronx County,40.816109,-73.917757,No,Yes,Yes,No,Yes
East 149th St,,6,FALSE,Bronx,Bronx County,40.812118,-73.904098,No,Yes,Yes,Yes,Yes
125th St,,23,FALSE,Manhattan,New York County,40.807745,-73.945502,No,Yes,Yes,Yes,Yes
Franklin Ave,,,FALSE,Brooklyn,Kings County,40.68138,-73.956848,No,No,No,No,No
174th St,,,FALSE,Bronx,Bronx County,40.8459,-73.910136,No,Yes,Yes,Yes,Yes
181st St.,,,TRUE,Manhattan,New York County,40.851695,-73.937969,No,Yes,Yes,Yes,Yes
South Ferry,,1,FALSE,Manhattan,New York County,40.701542,-74.013506,No,No,No,No,No
Northern Blvd,,,FALSE,Queens,Queens County,40.752885,-73.906006,No,Yes,Yes,Yes,Yes
8th st,,,FALSE,Manhattan,New York County,40.730328,-73.992629,No,No,Yes,No,No
155th St,,,FALSE,Manhattan,New York County,40.830135,-73.938209,No,Yes,Yes,Yes,Yes
96 St,,,FALSE,Manhattan,New York County,40.784267,-73.947114,No,No,No,No,No
Court Square,,,FALSE,Queens,Queens County,40.746554,-73.943832,No,Yes,Yes,Yes,Yes
City Hall,,,FALSE,Manhattan,New York County,40.713282,-74.006978,No,No,Yes,No,No
Chambers St,,,TRUE,Manhattan,New York County,40.713243,-74.003401,No,No,Yes,No,No
Park Place,,23,FALSE,Manhattan,New York County,40.713051,-74.008811,No,No,Yes,No,No
86th St,,456,TRUE,Manhattan,New York County,40.779492,-73.955589,No,Yes,Yes,Yes,Yes
Pacific St,,,FALSE,Brooklyn,Kings County,40.683666,-73.97881,No,No,No,No,No
190th St,,,TRUE,Manhattan,New York County,40.859022,-73.93418,No,Yes,Yes,Yes,Yes
7th Ave,,,FALSE,Brooklyn,New York County,40.666271,-73.980305,No,No,No,No,No
Lorimer St,,,FALSE,Brooklyn,Kings County,40.714063,-73.950275,No,Yes,Yes,No,Yes
51st St,,6,FALSE,Manhattan,New York County,40.757107,-73.97192,No,Yes,Yes,No,Yes
Broadwav-Lafayette,,,FALSE,Manhattan,New York County,40.725297,-73.996204,No,No,Yes,No,No
Ralph Ave,,,FALSE,Brooklyn,Kings County,40.678822,-73.920786,No,No,No,No,No
125th St,,6,FALSE,Manhattan,New York County,40.804138,-73.937594,No,Yes,Yes,Yes,Yes
110th St,,1,TRUE,Manhattan,New York County,40.803967,-73.966847,No,Yes,Yes,Yes,Yes
125th St,,,FALSE,Manhattan,New York County,40.811109,-73.952343,No,Yes,Yes,Yes,Yes
Utica Ave,,,FALSE,Brooklyn,Kings County,40.679364,-73.930729,No,No,No,No,No
Bedford/Nostrand,,,FALSE,Brooklyn,Kings County,40.689627,-73.953522,No,No,No,No,No
5th Ave,,,FALSE,Manhattan,New York County,40.760167,-73.975224,No,Yes,Yes,Yes,Yes
Houston St,,1,FALSE,Manhattan,New York County,40.728251,-74.005367,No,No,Yes,No,No
Myrtle Ave,,,FALSE,Brooklyn,Kings County,40.699814,-73.911586,No,No,No,No,No
Prospect Ave,,,FALSE,Brooklyn,Kings County,40.665414,-73.992872,No,No,No,No,No
155th St,,,FALSE,Manhattan,New York County,40.830518,-73.941514,No,Yes,Yes,Yes,Yes
Cortland St,,1,FALSE,Manhattan,New York County,40.711835,-74.012188,No,No,No,No,No
Queens Plaza,,,FALSE,Queens,Queens County,40.748973,-73.937243,No,Yes,Yes,Yes,Yes
Longwood Avenue,,6,FALSE,Bronx,Bronx County,40.816104,-73.896435,No,Yes,Yes,Yes,Yes
175th St,,,FALSE,Manhattan,New York County,40.847391,-73.939704,No,Yes,Yes,Yes,Yes
42nd St,,,FALSE,Manhattan,New York County,40.757308,-73.989735,No,Yes,Yes,Yes,Yes
Wall St,,45,TRUE,Manhattan,New York County,40.707557,-74.011862,No,No,Yes,No,No
Ft. Hamilton Pky,,,FALSE,Brooklyn,New York County,40.650782,-73.975776,No,No,No,No,No
,,,FALSE,Brooklyn,Kings County,,,No,No,No,No,No
5th Ave,,,FALSE,Manhattan,New York County,40.764811,-73.973347,No,Yes,Yes,Yes,Yes
President St,,25,FALSE,Brooklyn,Kings County,40.667883,-73.950683,No,No,No,No,No
